epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.4831414520740509,9.999999747378752e-06,1.9994659423828125,0.5231335163116455,1.7094110250473022
1,0.6914747953414917,1.8000000636675395e-05,1.0243315696716309,0.8961619138717651,0.3677389919757843
2,0.7839912176132202,2.5999999706982635e-05,0.7181199789047241,0.9492639303207397,0.19309207797050476
3,0.8510828018188477,3.400000059627928e-05,0.4906689524650574,0.9432176947593689,0.17038017511367798
4,0.9061129093170166,4.199999966658652e-05,0.31417909264564514,0.9518927335739136,0.1340959370136261
5,0.9456551671028137,4.999999873689376e-05,0.1830858737230301,0.9742376208305359,0.08048929274082184
6,0.9439418911933899,4.999999873689376e-05,0.18321499228477478,0.9837013483047485,0.056542471051216125
7,0.9352384805679321,4.975062620360404e-05,0.1945328563451767,0.9750263094902039,0.08061091601848602
8,0.9553865194320679,4.9007576308213174e-05,0.13273577392101288,0.9900104999542236,0.03717152401804924
9,0.9611430764198303,4.7785983042558655e-05,0.11450959742069244,0.9873816967010498,0.038884617388248444
10,0.973204493522644,4.611071199178696e-05,0.07938684523105621,0.9892218708992004,0.03413742035627365
11,0.9599780440330505,4.401586556923576e-05,0.11289329081773758,0.9850157499313354,0.0432838536798954
12,0.9640899300575256,4.1544088162481785e-05,0.10448665916919708,0.9879074692726135,0.034530043601989746
13,0.9686129093170166,3.874570029438473e-05,0.09124565869569778,0.9855415225028992,0.04319848492741585
14,0.9647752046585083,3.567766907508485e-05,0.0989762619137764,0.9939537048339844,0.02148536965250969
15,0.9704632759094238,3.240244768676348e-05,0.08610722422599792,0.9884332418441772,0.03488660231232643
16,0.9621025323867798,2.8986713004997e-05,0.10420588403940201,0.9913249015808105,0.027230774983763695
17,0.9727933406829834,2.5499999537714757e-05,0.07514476031064987,0.9905362725257874,0.030707653611898422
18,0.9601836800575256,2.2013286070432514e-05,0.10597074776887894,0.9873816967010498,0.03629359230399132
19,0.9734786152839661,1.8597553207655437e-05,0.07466807216405869,0.9913249015808105,0.028802264481782913
20,0.9801260828971863,1.5322331819334067e-05,0.0615951232612133,0.9902734160423279,0.03174080699682236
