epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7804579138755798,9.999999747378752e-06,0.765413761138916,0.9731712341308594,0.10395000874996185
1,0.934480607509613,1.8000000636675395e-05,0.2273913472890854,0.9856787323951721,0.061072446405887604
2,0.9643224477767944,2.5999999706982635e-05,0.12484665960073471,0.987492561340332,0.04491982236504555
3,0.9730556607246399,3.400000059627928e-05,0.09666752070188522,0.9877903461456299,0.04165080934762955
4,0.9776118397712708,4.199999966658652e-05,0.07843048125505447,0.9964805841445923,0.015561146661639214
5,0.980509340763092,4.999999873689376e-05,0.06805174052715302,0.9944772124290466,0.01923566497862339
6,0.9834001064300537,4.999999873689376e-05,0.06092214211821556,0.9964264631271362,0.01316979993134737
7,0.9872792959213257,4.975062620360404e-05,0.05066754296422005,0.9961286187171936,0.012536140158772469
8,0.9870491027832031,4.9007576308213174e-05,0.05026276037096977,0.9970220327377319,0.009398480877280235
9,0.9888160824775696,4.7785983042558655e-05,0.044419851154088974,0.9967783689498901,0.01027380209416151
10,0.988890528678894,4.611071199178696e-05,0.04494837298989296,0.9966700673103333,0.011580536141991615
11,0.9907658100128174,4.401586556923576e-05,0.04004913568496704,0.9957496523857117,0.012836777605116367
12,0.9912667870521545,4.1544088162481785e-05,0.03982274979352951,0.9977529644966125,0.007596789393573999
13,0.9920453429222107,3.874570029438473e-05,0.037555474787950516,0.9971844553947449,0.008777240291237831
14,0.9917542338371277,3.567766907508485e-05,0.03840535879135132,0.9976176023483276,0.007885911501944065
15,0.99159175157547,3.240244768676348e-05,0.03908313065767288,0.9976447224617004,0.007669433020055294
16,0.9924379587173462,2.8986713004997e-05,0.037437763065099716,0.9977800846099854,0.007330953609198332
17,0.9914495944976807,2.5499999537714757e-05,0.03913741186261177,0.9971032738685608,0.010057227686047554
18,0.9926140308380127,2.2013286070432514e-05,0.03582580387592316,0.9973198175430298,0.008328408002853394
19,0.9927290678024292,1.8597553207655437e-05,0.035764969885349274,0.9973198175430298,0.008734878152608871
20,0.9925666451454163,1.5322331819334067e-05,0.03596406430006027,0.9973468780517578,0.008358015678822994
21,0.9926749467849731,1.2254299690539483e-05,0.03611133247613907,0.9978071451187134,0.00755895022302866
22,0.9928983449935913,9.455911822442431e-06,0.036174796521663666,0.9976988434791565,0.007717279717326164
